GEO_ID,NAME,B01001_001E,B25003_001E,B01003_001E,C16001_001E,C16002_013E,C16002_014E,B28011_001E,B28011_008E,B25046_001E,B27010_001E,B27010_002E,B27010_017E,B27010_018E,B27010_033E,B27010_034E,B27010_050E,B27010_051E,B27010_066E,state,county,tract,block group
1500000US150090307131,Block Group 1; Census Tract 307.13; Maui County; Hawaii,628,270,628,,0,0,270,26,542,628,88,0,155,0,173,0,212,0,15,009,030713,1
1500000US150090307132,Block Group 2; Census Tract 307.13; Maui County; Hawaii,3029,974,3029,,0,0,974,11,1919,3017,622,100,1075,44,1037,48,283,0,15,009,030713,2
1500000US150090308001,Block Group 1; Census Tract 308; Maui County; Hawaii,4361,1007,4361,,2,0,1007,2,2449,4358,1227,0,878,126,1693,140,560,0,15,009,030800,1
1500000US150090308002,Block Group 2; Census Tract 308; Maui County; Hawaii,468,199,468,,0,0,199,0,419,468,90,0,74,0,169,6,135,0,15,009,030800,2
1500000US150090308003,Block Group 3; Census Tract 308; Maui County; Hawaii,3535,1100,3535,,0,0,1100,72,2537,3531,1018,0,615,39,1397,17,501,0,15,009,030800,3
1500000US150090309011,Block Group 1; Census Tract 309.01; Maui County; Hawaii,776,252,776,,0,11,252,74,445,776,211,0,101,26,300,0,164,0,15,009,030901,1
1500000US150090309012,Block Group 2; Census Tract 309.01; Maui County; Hawaii,447,245,447,,0,0,245,25,273,447,34,0,86,3,214,0,113,0,15,009,030901,2
1500000US150090309013,Block Group 3; Census Tract 309.01; Maui County; Hawaii,904,406,904,,0,5,406,77,605,904,155,49,102,0,447,0,200,0,15,009,030901,3
1500000US150090309021,Block Group 1; Census Tract 309.02; Maui County; Hawaii,2503,961,2503,,0,19,961,164,1441,2397,663,0,268,0,1058,0,408,0,15,009,030902,1
1500000US150090309022,Block Group 2; Census Tract 309.02; Maui County; Hawaii,481,169,481,,0,0,169,19,,481,123,0,76,0,238,15,44,0,15,009,030902,2
1500000US150090309031,Block Group 1; Census Tract 309.03; Maui County; Hawaii,2804,698,2804,,0,0,698,23,1924,2728,709,38,453,61,969,30,597,0,15,009,030903,1
1500000US150090309032,Block Group 2; Census Tract 309.03; Maui County; Hawaii,1720,376,1720,,0,0,376,104,898,1720,599,93,299,0,593,100,229,0,15,009,030903,2
1500000US150090309033,Block Group 3; Census Tract 309.03; Maui County; Hawaii,2812,752,2812,,0,2,752,141,1843,2810,654,51,485,31,1006,39,665,2,15,009,030903,3
1500000US150090310011,Block Group 1; Census Tract 310.01; Maui County; Hawaii,748,287,748,,0,0,287,119,584,748,67,0,69,0,333,0,279,0,15,009,031001,1
1500000US150090310012,Block Group 2; Census Tract 310.01; Maui County; Hawaii,1127,349,1127,,0,0,349,14,718,1127,278,0,223,0,338,0,288,0,15,009,031001,2
1500000US150090310013,Block Group 3; Census Tract 310.01; Maui County; Hawaii,2074,764,2074,,0,0,764,13,,2065,483,0,264,0,934,0,384,0,15,009,031001,3
1500000US150090310014,Block Group 4; Census Tract 310.01; Maui County; Hawaii,2806,875,2806,,0,0,875,43,1586,2806,1030,0,341,0,1044,0,391,0,15,009,031001,4
1500000US150090310021,Block Group 1; Census Tract 310.02; Maui County; Hawaii,973,431,973,,0,0,431,126,635,971,297,77,0,0,433,43,241,0,15,009,031002,1
1500000US150090310022,Block Group 2; Census Tract 310.02; Maui County; Hawaii,753,292,753,,0,0,292,45,524,750,168,0,62,0,244,0,276,13,15,009,031002,2
1500000US150090310023,Block Group 3; Census Tract 310.02; Maui County; Hawaii,1921,872,1921,,12,0,872,130,1457,1921,238,0,380,104,853,18,450,0,15,009,031002,3
1500000US150090311021,Block Group 1; Census Tract 311.02; Maui County; Hawaii,2074,617,2074,,0,0,617,32,1320,2074,346,0,324,0,933,134,471,0,15,009,031102,1
1500000US150090311022,Block Group 2; Census Tract 311.02; Maui County; Hawaii,1491,450,1491,,0,0,450,78,1094,1491,223,11,319,0,741,37,208,0,15,009,031102,2
1500000US150090311023,Block Group 3; Census Tract 311.02; Maui County; Hawaii,2108,720,2108,,0,0,720,221,983,1731,222,14,284,20,536,0,689,0,15,009,031102,3
1500000US150090311041,Block Group 1; Census Tract 311.04; Maui County; Hawaii,2537,881,2537,,0,0,881,0,2140,2537,594,0,330,0,1528,7,85,0,15,009,031104,1
1500000US150090311051,Block Group 1; Census Tract 311.05; Maui County; Hawaii,1301,385,1301,,0,0,385,78,660,1301,336,0,244,48,503,43,218,0,15,009,031105,1
